filepath,class,label,subset
train\Normal\aug_209_1559.jpg,Normal,0,train
train\OSCC\aug_572_2128.jpg,OSCC,1,train
train\Normal\aug_193_3135.jpg,Normal,0,train
train\OSCC\aug_384_5749.jpg,OSCC,1,train
train\OSCC\aug_482_8090.jpg,OSCC,1,train
train\OSCC\aug_429_6359.jpg,OSCC,1,train
train\Normal\aug_104_6245.jpg,Normal,0,train
train\OSCC\OSCC_400x_138.jpg,OSCC,1,train
train\Normal\aug_226_2503.jpg,Normal,0,train
train\OSCC\aug_475_2194.jpg,OSCC,1,train
train\Normal\aug_89_7532.jpg,Normal,0,train
train\Normal\aug_178_9487.jpg,Normal,0,train
train\OSCC\aug_69_5550.jpg,OSCC,1,train
train\OSCC\aug_46_2170.jpg,OSCC,1,train
train\OSCC\aug_171_1659.jpg,OSCC,1,train
train\Normal\aug_199_513.jpg,Normal,0,train
train\Normal\aug_105_1015.jpg,Normal,0,train
train\Normal\aug_816_7839.jpg,Normal,0,train
train\OSCC\aug_378_6079.jpg,OSCC,1,train
train\OSCC\OSCC_100x_254.jpg,OSCC,1,train
train\Normal\aug_245_6957.jpg,Normal,0,train
train\OSCC\OSCC_400x_177.jpg,OSCC,1,train
train\OSCC\aug_310_227.jpg,OSCC,1,train
train\Normal\aug_156_3222.jpg,Normal,0,train
train\OSCC\aug_348_1127.jpg,OSCC,1,train
train\OSCC\aug_6_6454.jpg,OSCC,1,train
train\Normal\aug_173_2603.jpg,Normal,0,train
train\OSCC\aug_248_2710.jpg,OSCC,1,train
train\OSCC\OSCC_100x_424.jpg,OSCC,1,train
train\OSCC\aug_587_3127.jpg,OSCC,1,train
train\OSCC\OSCC_100x_116.jpg,OSCC,1,train
train\Normal\aug_28_2897.jpg,Normal,0,train
train\OSCC\aug_96_6514.jpg,OSCC,1,train
train\OSCC\aug_96_8359.jpg,OSCC,1,train
train\OSCC\aug_225_3398.jpg,OSCC,1,train
train\Normal\aug_24_7803.jpg,Normal,0,train
train\Normal\aug_311_7874.jpg,Normal,0,train
train\OSCC\aug_217_1601.jpg,OSCC,1,train
train\OSCC\aug_583_7763.jpg,OSCC,1,train
train\OSCC\aug_13_7899.jpg,OSCC,1,train
train\OSCC\OSCC_100x_329.jpg,OSCC,1,train
train\Normal\aug_480_1837.jpg,Normal,0,train
train\Normal\aug_224_7271.jpg,Normal,0,train
train\OSCC\aug_181_155.jpg,OSCC,1,train
train\OSCC\aug_730_1966.jpg,OSCC,1,train
train\OSCC\aug_368_681.jpg,OSCC,1,train
train\OSCC\aug_368_1979.jpg,OSCC,1,train
train\OSCC\OSCC_400x_260.jpg,OSCC,1,train
train\OSCC\OSCC_400x_165.jpg,OSCC,1,train
train\Normal\aug_186_5902.jpg,Normal,0,train
train\OSCC\OSCC_400x_9.jpg,OSCC,1,train
train\Normal\Normal_400x_161.jpg,Normal,0,train
train\OSCC\aug_669_4155.jpg,OSCC,1,train
train\Normal\aug_113_7040.jpg,Normal,0,train
train\OSCC\aug_124_6050.jpg,OSCC,1,train
train\OSCC\OSCC_100x_360.jpg,OSCC,1,train
train\Normal\aug_90_4116.jpg,Normal,0,train
train\Normal\aug_369_1341.jpg,Normal,0,train
train\OSCC\OSCC_100x_167.jpg,OSCC,1,train
train\OSCC\OSCC_400x_150.jpg,OSCC,1,train
train\OSCC\aug_13_6005.jpg,OSCC,1,train
train\OSCC\OSCC_100x_322.jpg,OSCC,1,train
train\OSCC\aug_260_8678.jpg,OSCC,1,train
train\Normal\aug_141_6406.jpg,Normal,0,train
train\Normal\Normal_400x_13.jpg,Normal,0,train
train\Normal\aug_27_807.jpg,Normal,0,train
train\OSCC\aug_5_181.jpg,OSCC,1,train
train\OSCC\aug_180_1128.jpg,OSCC,1,train
train\OSCC\aug_220_7858.jpg,OSCC,1,train
train\Normal\aug_193_603.jpg,Normal,0,train
train\OSCC\aug_294_563.jpg,OSCC,1,train
train\Normal\aug_86_4078.jpg,Normal,0,train
train\OSCC\aug_715_7466.jpg,OSCC,1,train
train\Normal\aug_658_9032.jpg,Normal,0,train
train\Normal\aug_625_8141.jpg,Normal,0,train
train\OSCC\OSCC_400x_172.jpg,OSCC,1,train
train\OSCC\aug_333_2328.jpg,OSCC,1,train
train\OSCC\OSCC_100x_171.jpg,OSCC,1,train
train\OSCC\OSCC_400x_117.jpg,OSCC,1,train
train\OSCC\OSCC_400x_126.jpg,OSCC,1,train
train\OSCC\aug_339_7209.jpg,OSCC,1,train
train\Normal\aug_62_1629.jpg,Normal,0,train
train\Normal\aug_879_3301.jpg,Normal,0,train
train\Normal\aug_220_7505.jpg,Normal,0,train
train\Normal\aug_175_1236.jpg,Normal,0,train
train\Normal\Normal_400x_10.jpg,Normal,0,train
train\OSCC\aug_233_1466.jpg,OSCC,1,train
train\Normal\aug_170_5465.jpg,Normal,0,train
train\OSCC\OSCC_400x_204.jpg,OSCC,1,train
train\OSCC\aug_609_6021.jpg,OSCC,1,train
train\OSCC\aug_226_1326.jpg,OSCC,1,train
train\Normal\Normal_400x_33.jpg,Normal,0,train
train\Normal\aug_103_4536.jpg,Normal,0,train
train\OSCC\aug_93_2666.jpg,OSCC,1,train
train\Normal\aug_151_3558.jpg,Normal,0,train
train\OSCC\aug_195_655.jpg,OSCC,1,train
train\OSCC\OSCC_100x_72.jpg,OSCC,1,train
train\OSCC\aug_171_5330.jpg,OSCC,1,train
train\OSCC\aug_311_3354.jpg,OSCC,1,train
train\Normal\aug_609_3304.jpg,Normal,0,train
train\OSCC\aug_461_3849.jpg,OSCC,1,train
train\Normal\aug_101_2943.jpg,Normal,0,train
train\OSCC\OSCC_400x_239.jpg,OSCC,1,train
train\OSCC\OSCC_100x_87.jpg,OSCC,1,train
train\Normal\aug_1_2336.jpg,Normal,0,train
train\OSCC\aug_68_4255.jpg,OSCC,1,train
train\OSCC\aug_164_1041.jpg,OSCC,1,train
train\OSCC\OSCC_100x_274.jpg,OSCC,1,train
train\OSCC\OSCC_400x_167.jpg,OSCC,1,train
train\OSCC\aug_375_7718.jpg,OSCC,1,train
train\OSCC\aug_474_7500.jpg,OSCC,1,train
train\Normal\Normal_400x_15.jpg,Normal,0,train
train\Normal\Normal_100x_82.jpg,Normal,0,train
train\Normal\Normal_400x_151.jpg,Normal,0,train
train\OSCC\aug_418_2213.jpg,OSCC,1,train
train\OSCC\aug_152_1616.jpg,OSCC,1,train
train\Normal\aug_105_9248.jpg,Normal,0,train
train\Normal\aug_71_4890.jpg,Normal,0,train
train\Normal\Normal_400x_177.jpg,Normal,0,train
train\OSCC\OSCC_100x_20.jpg,OSCC,1,train
train\Normal\aug_207_3872.jpg,Normal,0,train
train\OSCC\aug_42_6054.jpg,OSCC,1,train
train\OSCC\aug_36_7187.jpg,OSCC,1,train
train\Normal\aug_199_9761.jpg,Normal,0,train
train\Normal\aug_197_559.jpg,Normal,0,train
train\OSCC\aug_217_4201.jpg,OSCC,1,train
train\Normal\aug_58_1199.jpg,Normal,0,train
train\Normal\aug_293_9168.jpg,Normal,0,train
train\OSCC\OSCC_100x_211.jpg,OSCC,1,train
train\Normal\aug_16_5317.jpg,Normal,0,train
train\OSCC\OSCC_400x_97.jpg,OSCC,1,train
train\OSCC\aug_49_39.jpg,OSCC,1,train
train\Normal\aug_177_8901.jpg,Normal,0,train
train\OSCC\OSCC_400x_300.jpg,OSCC,1,train
train\Normal\aug_54_1731.jpg,Normal,0,train
train\Normal\aug_220_141.jpg,Normal,0,train
train\Normal\Normal_100x_28.jpg,Normal,0,train
train\Normal\aug_213_4597.jpg,Normal,0,train
train\Normal\aug_161_331.jpg,Normal,0,train
train\OSCC\aug_22_557.jpg,OSCC,1,train
train\Normal\Normal_400x_48.jpg,Normal,0,train
train\OSCC\OSCC_100x_284.jpg,OSCC,1,train
train\OSCC\aug_713_8538.jpg,OSCC,1,train
train\Normal\Normal_100x_86.jpg,Normal,0,train
train\OSCC\aug_329_1261.jpg,OSCC,1,train
train\Normal\aug_175_6987.jpg,Normal,0,train
train\OSCC\aug_282_4022.jpg,OSCC,1,train
train\Normal\aug_20_9409.jpg,Normal,0,train
train\OSCC\aug_424_6076.jpg,OSCC,1,train
train\Normal\aug_94_1848.jpg,Normal,0,train
train\Normal\aug_80_8662.jpg,Normal,0,train
train\OSCC\OSCC_400x_18.jpg,OSCC,1,train
train\OSCC\OSCC_100x_47.jpg,OSCC,1,train
train\OSCC\OSCC_400x_486.jpg,OSCC,1,train
train\Normal\aug_188_8028.jpg,Normal,0,train
train\OSCC\aug_348_466.jpg,OSCC,1,train
train\OSCC\aug_182_763.jpg,OSCC,1,train
train\Normal\aug_187_1777.jpg,Normal,0,train
train\OSCC\OSCC_400x_400.jpg,OSCC,1,train
train\Normal\aug_733_8598.jpg,Normal,0,train
train\OSCC\aug_141_1017.jpg,OSCC,1,train
train\Normal\Normal_100x_71.jpg,Normal,0,train
train\OSCC\OSCC_100x_86.jpg,OSCC,1,train
train\OSCC\aug_696_4364.jpg,OSCC,1,train
train\Normal\aug_440_3812.jpg,Normal,0,train
train\Normal\aug_195_4099.jpg,Normal,0,train
train\Normal\aug_60_9676.jpg,Normal,0,train
train\Normal\aug_88_697.jpg,Normal,0,train
train\OSCC\aug_66_6961.jpg,OSCC,1,train
train\Normal\aug_156_3604.jpg,Normal,0,train
train\Normal\aug_51_7765.jpg,Normal,0,train
train\OSCC\OSCC_400x_164.jpg,OSCC,1,train
train\Normal\aug_70_2434.jpg,Normal,0,train
train\Normal\aug_170_3870.jpg,Normal,0,train
train\Normal\aug_5_2037.jpg,Normal,0,train
train\Normal\aug_119_645.jpg,Normal,0,train
train\Normal\aug_184_9966.jpg,Normal,0,train
train\OSCC\aug_305_9423.jpg,OSCC,1,train
train\OSCC\aug_130_2362.jpg,OSCC,1,train
train\Normal\aug_178_951.jpg,Normal,0,train
train\OSCC\aug_53_2807.jpg,OSCC,1,train
train\Normal\aug_171_4377.jpg,Normal,0,train
train\Normal\aug_40_1467.jpg,Normal,0,train
train\Normal\Normal_100x_70.jpg,Normal,0,train
train\OSCC\OSCC_400x_285.jpg,OSCC,1,train
train\OSCC\aug_537_5283.jpg,OSCC,1,train
train\OSCC\aug_560_6253.jpg,OSCC,1,train
train\OSCC\aug_143_7529.jpg,OSCC,1,train
train\Normal\aug_297_7727.jpg,Normal,0,train
train\OSCC\aug_238_6311.jpg,OSCC,1,train
train\OSCC\aug_62_9831.jpg,OSCC,1,train
train\OSCC\aug_522_3705.jpg,OSCC,1,train
train\Normal\aug_618_1823.jpg,Normal,0,train
train\Normal\aug_168_10.jpg,Normal,0,train
train\Normal\aug_153_8955.jpg,Normal,0,train
train\Normal\aug_108_3523.jpg,Normal,0,train
train\Normal\aug_369_4152.jpg,Normal,0,train
train\OSCC\OSCC_400x_228.jpg,OSCC,1,train
train\OSCC\aug_133_1953.jpg,OSCC,1,train
train\Normal\aug_764_4764.jpg,Normal,0,train
train\OSCC\aug_199_2469.jpg,OSCC,1,train
train\Normal\Normal_400x_34.jpg,Normal,0,train
train\OSCC\aug_433_3675.jpg,OSCC,1,train
train\Normal\aug_114_3681.jpg,Normal,0,train
train\OSCC\OSCC_100x_196.jpg,OSCC,1,train
train\OSCC\aug_746_9687.jpg,OSCC,1,train
train\OSCC\aug_197_1107.jpg,OSCC,1,train
train\OSCC\OSCC_400x_125.jpg,OSCC,1,train
train\Normal\aug_31_6558.jpg,Normal,0,train
train\OSCC\OSCC_100x_310.jpg,OSCC,1,train
train\Normal\aug_301_8898.jpg,Normal,0,train
train\OSCC\OSCC_400x_308.jpg,OSCC,1,train
train\OSCC\aug_307_3082.jpg,OSCC,1,train
train\Normal\aug_171_9517.jpg,Normal,0,train
train\Normal\aug_17_4510.jpg,Normal,0,train
train\Normal\aug_226_3237.jpg,Normal,0,train
train\OSCC\aug_95_1930.jpg,OSCC,1,train
train\Normal\aug_344_7344.jpg,Normal,0,train
train\OSCC\OSCC_400x_320.jpg,OSCC,1,train
train\OSCC\aug_410_3425.jpg,OSCC,1,train
train\OSCC\aug_189_7438.jpg,OSCC,1,train
train\OSCC\OSCC_100x_369.jpg,OSCC,1,train
train\Normal\aug_266_9606.jpg,Normal,0,train
train\OSCC\OSCC_400x_490.jpg,OSCC,1,train
train\OSCC\OSCC_100x_380.jpg,OSCC,1,train
train\Normal\aug_402_1464.jpg,Normal,0,train
train\Normal\aug_43_1642.jpg,Normal,0,train
train\Normal\aug_18_3226.jpg,Normal,0,train
train\OSCC\aug_303_1204.jpg,OSCC,1,train
train\Normal\aug_130_5346.jpg,Normal,0,train
train\OSCC\aug_724_9351.jpg,OSCC,1,train
train\OSCC\OSCC_100x_288.jpg,OSCC,1,train
train\Normal\aug_223_791.jpg,Normal,0,train
train\Normal\Normal_400x_192.jpg,Normal,0,train
train\OSCC\aug_241_1675.jpg,OSCC,1,train
train\Normal\aug_164_1763.jpg,Normal,0,train
train\Normal\aug_7_716.jpg,Normal,0,train
train\OSCC\aug_236_9590.jpg,OSCC,1,train
train\OSCC\OSCC_100x_243.jpg,OSCC,1,train
train\OSCC\aug_46_1941.jpg,OSCC,1,train
train\Normal\aug_533_1632.jpg,Normal,0,train
train\OSCC\OSCC_100x_190.jpg,OSCC,1,train
train\Normal\aug_318_70.jpg,Normal,0,train
train\OSCC\aug_593_7342.jpg,OSCC,1,train
train\Normal\aug_35_6245.jpg,Normal,0,train
train\Normal\aug_325_8660.jpg,Normal,0,train
train\Normal\Normal_400x_138.jpg,Normal,0,train
train\Normal\aug_525_3547.jpg,Normal,0,train
train\OSCC\aug_109_74.jpg,OSCC,1,train
train\Normal\aug_79_8587.jpg,Normal,0,train
train\OSCC\aug_513_7550.jpg,OSCC,1,train
train\OSCC\OSCC_100x_33.jpg,OSCC,1,train
train\Normal\aug_84_2106.jpg,Normal,0,train
train\OSCC\aug_332_6589.jpg,OSCC,1,train
train\OSCC\aug_258_5096.jpg,OSCC,1,train
train\OSCC\OSCC_400x_231.jpg,OSCC,1,train
train\Normal\aug_597_7609.jpg,Normal,0,train
train\OSCC\OSCC_100x_212.jpg,OSCC,1,train
train\Normal\aug_173_7392.jpg,Normal,0,train
train\Normal\aug_353_1974.jpg,Normal,0,train
train\OSCC\aug_656_8343.jpg,OSCC,1,train
train\Normal\aug_778_8879.jpg,Normal,0,train
train\Normal\aug_163_170.jpg,Normal,0,train
train\OSCC\aug_692_1687.jpg,OSCC,1,train
train\OSCC\aug_36_9010.jpg,OSCC,1,train
train\OSCC\aug_73_4633.jpg,OSCC,1,train
train\OSCC\aug_714_8253.jpg,OSCC,1,train
train\Normal\aug_120_3489.jpg,Normal,0,train
train\OSCC\aug_552_9456.jpg,OSCC,1,train
train\OSCC\OSCC_100x_425.jpg,OSCC,1,train
train\OSCC\aug_127_7380.jpg,OSCC,1,train
train\Normal\aug_9_9054.jpg,Normal,0,train
train\OSCC\aug_230_9941.jpg,OSCC,1,train
train\Normal\Normal_400x_99.jpg,Normal,0,train
train\OSCC\OSCC_400x_354.jpg,OSCC,1,train
train\Normal\aug_230_1634.jpg,Normal,0,train
train\OSCC\aug_136_1982.jpg,OSCC,1,train
train\OSCC\OSCC_100x_119.jpg,OSCC,1,train
train\Normal\aug_71_2368.jpg,Normal,0,train
train\OSCC\aug_376_2512.jpg,OSCC,1,train
train\Normal\aug_130_9955.jpg,Normal,0,train
train\Normal\aug_196_9093.jpg,Normal,0,train
train\OSCC\OSCC_400x_433.jpg,OSCC,1,train
train\OSCC\aug_603_6403.jpg,OSCC,1,train
train\Normal\aug_103_1019.jpg,Normal,0,train
train\Normal\aug_222_4665.jpg,Normal,0,train
train\OSCC\OSCC_400x_489.jpg,OSCC,1,train
train\OSCC\aug_396_3118.jpg,OSCC,1,train
train\OSCC\aug_92_9945.jpg,OSCC,1,train
train\Normal\aug_14_7487.jpg,Normal,0,train
train\Normal\Normal_100x_18.jpg,Normal,0,train
train\Normal\aug_13_9827.jpg,Normal,0,train
train\Normal\Normal_400x_9.jpg,Normal,0,train
train\Normal\aug_47_962.jpg,Normal,0,train
train\OSCC\aug_86_8412.jpg,OSCC,1,train
train\OSCC\aug_323_2874.jpg,OSCC,1,train
train\OSCC\OSCC_400x_366.jpg,OSCC,1,train
train\Normal\aug_286_6891.jpg,Normal,0,train
train\Normal\Normal_400x_131.jpg,Normal,0,train
train\Normal\aug_100_9601.jpg,Normal,0,train
train\OSCC\aug_581_499.jpg,OSCC,1,train
train\OSCC\aug_471_8403.jpg,OSCC,1,train
train\OSCC\aug_174_7438.jpg,OSCC,1,train
train\Normal\aug_228_4561.jpg,Normal,0,train
train\Normal\aug_67_3813.jpg,Normal,0,train
train\Normal\aug_748_9133.jpg,Normal,0,train
train\OSCC\aug_313_7573.jpg,OSCC,1,train
train\Normal\aug_160_6838.jpg,Normal,0,train
train\OSCC\aug_326_6253.jpg,OSCC,1,train
train\Normal\aug_341_744.jpg,Normal,0,train
train\OSCC\aug_148_1920.jpg,OSCC,1,train
train\Normal\aug_231_7637.jpg,Normal,0,train
train\OSCC\aug_430_6225.jpg,OSCC,1,train
train\Normal\aug_217_9065.jpg,Normal,0,train
train\Normal\aug_801_3968.jpg,Normal,0,train
train\OSCC\aug_103_8084.jpg,OSCC,1,train
train\Normal\aug_702_4494.jpg,Normal,0,train
train\OSCC\aug_165_8894.jpg,OSCC,1,train
train\Normal\aug_139_5597.jpg,Normal,0,train
train\Normal\aug_58_6049.jpg,Normal,0,train
train\Normal\aug_169_385.jpg,Normal,0,train
train\OSCC\OSCC_400x_121.jpg,OSCC,1,train
train\OSCC\aug_684_3757.jpg,OSCC,1,train
train\Normal\aug_70_904.jpg,Normal,0,train
train\Normal\aug_248_5092.jpg,Normal,0,train
train\Normal\aug_258_8260.jpg,Normal,0,train
train\Normal\aug_159_8396.jpg,Normal,0,train
train\OSCC\OSCC_400x_107.jpg,OSCC,1,train
train\OSCC\OSCC_400x_158.jpg,OSCC,1,train
train\OSCC\aug_653_9213.jpg,OSCC,1,train
train\Normal\aug_99_5521.jpg,Normal,0,train
train\OSCC\aug_59_1970.jpg,OSCC,1,train
train\Normal\Normal_400x_185.jpg,Normal,0,train
train\OSCC\aug_721_3657.jpg,OSCC,1,train
train\OSCC\aug_252_3534.jpg,OSCC,1,train
train\Normal\aug_70_6366.jpg,Normal,0,train
train\OSCC\aug_210_4736.jpg,OSCC,1,train
train\Normal\aug_87_5665.jpg,Normal,0,train
train\OSCC\OSCC_100x_388.jpg,OSCC,1,train
train\Normal\aug_61_2502.jpg,Normal,0,train
train\OSCC\aug_662_8634.jpg,OSCC,1,train
train\Normal\aug_394_9489.jpg,Normal,0,train
train\OSCC\aug_16_3896.jpg,OSCC,1,train
train\Normal\aug_120_2553.jpg,Normal,0,train
train\Normal\Normal_400x_86.jpg,Normal,0,train
train\OSCC\aug_299_8124.jpg,OSCC,1,train
train\OSCC\OSCC_400x_413.jpg,OSCC,1,train
train\Normal\aug_57_4251.jpg,Normal,0,train
train\OSCC\aug_709_9080.jpg,OSCC,1,train
train\Normal\aug_130_1986.jpg,Normal,0,train
train\Normal\aug_133_4934.jpg,Normal,0,train
train\OSCC\OSCC_100x_46.jpg,OSCC,1,train
train\Normal\aug_144_4578.jpg,Normal,0,train
train\OSCC\OSCC_400x_236.jpg,OSCC,1,train
train\OSCC\aug_358_2676.jpg,OSCC,1,train
train\OSCC\OSCC_400x_81.jpg,OSCC,1,train
train\Normal\aug_115_1019.jpg,Normal,0,train
train\Normal\aug_170_6001.jpg,Normal,0,train
train\Normal\Normal_100x_20.jpg,Normal,0,train
train\Normal\Normal_400x_52.jpg,Normal,0,train
train\Normal\aug_6_4956.jpg,Normal,0,train
train\Normal\aug_350_1948.jpg,Normal,0,train
train\Normal\aug_823_9318.jpg,Normal,0,train
train\OSCC\aug_162_5192.jpg,OSCC,1,train
train\OSCC\aug_490_2204.jpg,OSCC,1,train
train\OSCC\aug_434_6774.jpg,OSCC,1,train
train\Normal\aug_106_5654.jpg,Normal,0,train
train\Normal\aug_784_3153.jpg,Normal,0,train
train\OSCC\aug_147_9191.jpg,OSCC,1,train
train\Normal\aug_40_5104.jpg,Normal,0,train
train\OSCC\OSCC_100x_42.jpg,OSCC,1,train
train\Normal\aug_182_8554.jpg,Normal,0,train
train\Normal\aug_220_2072.jpg,Normal,0,train
train\Normal\aug_98_559.jpg,Normal,0,train
train\OSCC\aug_529_8143.jpg,OSCC,1,train
train\OSCC\aug_29_4451.jpg,OSCC,1,train
train\Normal\Normal_400x_36.jpg,Normal,0,train
train\OSCC\aug_181_643.jpg,OSCC,1,train
train\OSCC\OSCC_100x_67.jpg,OSCC,1,train
train\Normal\aug_162_1584.jpg,Normal,0,train
train\Normal\aug_202_8452.jpg,Normal,0,train
train\OSCC\aug_17_817.jpg,OSCC,1,train
train\Normal\aug_14_9477.jpg,Normal,0,train
train\Normal\aug_100_5289.jpg,Normal,0,train
train\Normal\aug_227_6434.jpg,Normal,0,train
train\Normal\aug_129_8637.jpg,Normal,0,train
train\Normal\Normal_400x_144.jpg,Normal,0,train
train\OSCC\OSCC_400x_136.jpg,OSCC,1,train
train\Normal\aug_453_1863.jpg,Normal,0,train
train\OSCC\OSCC_400x_399.jpg,OSCC,1,train
train\OSCC\OSCC_100x_66.jpg,OSCC,1,train
train\OSCC\aug_207_8560.jpg,OSCC,1,train
train\Normal\aug_15_6542.jpg,Normal,0,train
train\OSCC\OSCC_100x_282.jpg,OSCC,1,train
train\Normal\aug_15_9755.jpg,Normal,0,train
train\OSCC\aug_272_7188.jpg,OSCC,1,train
train\OSCC\aug_371_305.jpg,OSCC,1,train
train\OSCC\OSCC_400x_385.jpg,OSCC,1,train
train\Normal\aug_83_7390.jpg,Normal,0,train
train\Normal\aug_119_8353.jpg,Normal,0,train
train\OSCC\aug_593_41.jpg,OSCC,1,train
train\OSCC\aug_312_2773.jpg,OSCC,1,train
train\OSCC\aug_52_5924.jpg,OSCC,1,train
train\Normal\aug_371_7949.jpg,Normal,0,train
train\OSCC\aug_424_4597.jpg,OSCC,1,train
train\OSCC\OSCC_100x_304.jpg,OSCC,1,train
train\OSCC\aug_106_9567.jpg,OSCC,1,train
train\Normal\aug_94_9948.jpg,Normal,0,train
train\OSCC\aug_328_965.jpg,OSCC,1,train
train\Normal\aug_46_7772.jpg,Normal,0,train
train\OSCC\aug_330_2067.jpg,OSCC,1,train
train\OSCC\aug_371_3762.jpg,OSCC,1,train
train\OSCC\aug_226_2361.jpg,OSCC,1,train
train\OSCC\aug_450_1286.jpg,OSCC,1,train
train\OSCC\aug_229_3197.jpg,OSCC,1,train
